startup_id,startup_name,industry,location,market_size_estimate,market_growth_rate,founder_experience_years,founder_previous_exits,founder_education_level,team_size,monthly_active_users,revenue_last_month,growth_rate_last_3_months,pilot_partnerships,funding_rounds,total_funding_received,investors_count,status,pitch_deck_summary,vision_statement,problem_statement,succeeded_in_funding
1,"Mayer, Burns and Roberts",Healthtech,Bangalore,1787846414,15.44,7,1,MBA,219,431410,26311898,43.38,True,3,862561404,8,Acquired,"Thousand instead assume peace. Early similar offer finish.
Success affect play continue future type research. Teacher management expect ago than democratic into.
Management relate simply goal activity material. Tax maintain fact language worry.",Integrated object-oriented model,productize back-end metrics,True
2,Castro LLC,Edtech,Mumbai,1088409749,3.96,12,1,Bachelors,298,200041,42744783,49.61,False,0,0,0,Acquired,"Story than resource out realize own especially share. Throw everything debate raise at child official.
Mind factor tough phone important civil less. Most effect nearly artist clearly history.",Distributed methodical productivity,incubate user-centric networks,False
3,"Dennis, Taylor and Donovan",Fintech,Mumbai,3627030329,11.92,12,0,Masters,53,157730,39678222,7.4,True,0,0,0,Closed,"Seek remain clearly which heavy cover. Stay participant gun forward his.
Allow two face fly attention exactly base media. Yeah along across concern seek step peace reduce. Improve play air wonder.",Distributed background secured line,whiteboard distributed solutions,False
4,Miller and Sons,Fintech,Hyderabad,1999745294,10.75,15,1,PhD,55,68435,2438388,30.57,True,4,500270319,9,Active,"Eight travel me certain perform. Recent television son individual option system season. First ever its phone.
Action inside place environmental occur foot class. Wait happy character region all event experience.",Managed disintermediate function,whiteboard leading-edge users,True
5,Perez-Valdez,AI/ML,Bangalore,3419304461,16.74,9,1,Masters,57,253801,28573547,22.29,False,3,854706851,8,Active,"Owner low create sound hundred born. Interesting floor life prepare maybe their. Attack off region finish ready though assume.
Blue hard right black treat perhaps oil.",Grass-roots 24/7 solution,strategize transparent eyeballs,True
6,"Simmons, Frye and Jackson",AI/ML,Delhi,2679592528,7.4,8,1,Masters,58,342097,22345235,9.65,False,1,684775917,2,Acquired,Sell book network remain answer public us south. While around positive film kind around Republican national. White left opportunity.,Synergized background Internet solution,strategize one-to-one e-commerce,True
7,"Smith, Parks and Stevenson",Healthtech,Ahmedabad,3567960845,15.36,15,1,Bachelors,219,354531,34571725,16.6,False,4,759244035,2,Active,"Once throughout surface eye significant nothing. Training start per.
Suddenly three from training power place. Perform coach finish. Compare generation position something hear leg admit. Hand pass recently.",Horizontal tangible core,seize visionary bandwidth,True
8,Smith Ltd,AI/ML,Bangalore,2532243865,19.41,13,0,PhD,161,314358,38737468,4.19,True,0,373093431,8,Active,"Short specific do forget father role far out. Ability each interesting ball other act. Read lay large mother town again assume maintain.
Threat girl sport edge own its. Opportunity every woman window. Election tax strong dream usually opportunity.",Reduced systemic capability,reinvent revolutionary platforms,True
9,Page PLC,Healthtech,Chennai,1023717335,3.24,19,0,MBA,167,62858,24256560,30.5,True,1,187280295,7,Closed,"This it maintain PM. Probably process skin prove garden skin organization.
Drive a force stop room interest smile must. When position prepare security just draw. Popular wear expert fine.",Multi-channeled leadingedge standardization,generate proactive supply-chains,True
10,Townsend Inc,Healthtech,Bangalore,4929721883,17.67,8,1,Masters,37,352279,49158406,15.89,False,0,0,0,Acquired,"Concern theory sometimes person south from community. Rest trade early political surface white purpose. Shake attorney argue.
Compare already east street. Single than support ability.",Virtual demand-driven functionalities,harness visionary content,False
11,"Bell, Gonzalez and Brown",E-commerce,Mumbai,3539604651,13.84,3,0,PhD,231,376396,12732094,35.81,False,0,986651010,5,Active,"Not item Mrs far gas sell Mrs run. Economic show myself young indicate agent woman performance.
Put year outside final. Guess thus next back. Become challenge any somebody building anything.",Inverse multi-tasking policy,aggregate one-to-one partnerships,True
12,"Maxwell, Byrd and Sullivan",Agritech,Delhi,2099805069,11.39,9,2,MBA,19,219969,42075449,22.25,False,2,90553374,7,Acquired,"Offer purpose simple seven study field. Development across old support. Town ball experience.
Admit card just low plant hold industry. Learn approach player only heavy.
Seat instead head who computer no. Majority month surface risk rule hand.",Universal content-based artificial intelligence,re-contextualize plug-and-play architectures,True
13,Burke-Carroll,AI/ML,Mumbai,3184294495,14.82,5,2,Masters,235,450260,36908446,37.9,True,3,272266524,7,Acquired,"Color source sound sound any analysis full play. Those close him central war. Leader natural hit assume.
Along end nature support. According perform group account dog receive. Want table behavior structure usually church.",Grass-roots full-range collaboration,disintermediate extensible interfaces,True
14,Farmer PLC,Gaming,Ahmedabad,4781580571,18.8,13,1,MBA,138,489219,29203243,11.31,True,3,692940149,7,Closed,"Better position join bag particularly throw imagine. Hot draw drug court expert Mr. Care Democrat natural course free. Various across move school part though.
Blue order agent rest challenge manager money set. Appear shake pick popular red.",Automated actuating info-mediaries,scale bricks-and-clicks users,True
15,Alexander-Sparks,Agritech,Bangalore,2365814502,18.42,1,0,Masters,287,455589,2245000,40.99,True,0,0,0,Active,"Beautiful gun board make enjoy old. Value mind likely major they to level.
Cause standard especially. Direction record life surface Mr.
Physical financial they property politics sense hair. Some red office sport around friend. Choose control color.",Vision-oriented logistical throughput,monetize out-of-the-box networks,False
16,Jackson Inc,SaaS,Chennai,1029859174,5.8,9,1,Bachelors,169,229576,45065794,13.84,True,0,0,0,Closed,"Field surface should store.
Maybe blood old start management possible. Newspaper Democrat scientist entire.
Defense beautiful federal century modern hair. Party every place focus owner recent magazine. Fast learn again note someone can.",Switchable homogeneous attitude,engineer vertical e-tailers,False
17,"Garcia, Davis and Garcia",Agritech,Hyderabad,2388146037,6.72,9,0,PhD,56,215283,7664909,34.97,False,2,723304538,1,Closed,"Effort easy little recently. First page agreement fly price game church. Program end staff pay increase.
Democrat play since effect. While available nature feeling between.
Write everything real form. Phone idea agree my spend example country.",User-friendly mobile synergy,streamline distributed methodologies,True
18,Miles-Hill,Gaming,Delhi,2145815738,13.36,2,1,MBA,228,270536,40173712,12.36,True,1,158928240,5,Acquired,"Senior outside fund democratic base boy process. Over necessary bill star. Return majority across design at.
Personal blood because something rise never care. Trip discuss those theory.",Quality-focused systemic concept,strategize interactive methodologies,True
19,Oconnor-Cook,AI/ML,Ahmedabad,2039619487,13.08,11,2,PhD,259,169229,36122663,23.78,False,1,227674085,6,Acquired,"Difficult effect Democrat fish. Late into by both conference chair. Cell rather here dinner job like.
Decade guy what appear best. Available those put ever change throughout natural. Throughout save film street or.
Explain up far identify picture.",Multi-lateral next generation throughput,whiteboard revolutionary solutions,True
20,Taylor PLC,Edtech,Kolkata,1387791599,16.57,9,2,Bachelors,263,312955,24445642,11.4,True,1,285822750,3,Acquired,"Push cup risk individual fact point religious. Computer any deal approach second. Never enjoy school clear.
Probably some term wife make wall arrive. Policy daughter risk probably.
Despite western station just. Something who big follow rest.",Profit-focused multimedia adapter,revolutionize scalable bandwidth,True
21,"Beasley, Williams and Calderon",Edtech,Delhi,2497509011,13.97,9,0,PhD,132,220686,41177719,7.31,True,0,0,0,Active,"Change white peace cover discuss job meeting. Focus seek room such success.
Amount upon economic trade. Yeah purpose describe.",Cross-group holistic support,scale intuitive paradigms,False
22,Edwards and Sons,SaaS,Kolkata,1897955761,18.72,10,2,MBA,267,309987,13238175,40.95,True,0,487865080,4,Closed,"City as agent material book nice. Again major risk single kitchen. Mouth experience manager task no take.
Either all brother too. Brother window market brother much finally.",Polarized uniform groupware,engineer rich e-tailers,True
23,Butler Group,Healthtech,Chennai,4853512331,12.49,9,0,MBA,103,174714,30958143,42.41,True,3,400373327,8,Active,"Method through machine. Pick try civil democratic understand. Interesting send since the it travel.
Often debate who. Total bad more career question decide data. Local again member very evening cold decision.",Phased value-added leverage,transition viral web-readiness,True
24,"Brooks, Rhodes and Boone",SaaS,Delhi,3757504919,17.47,17,1,PhD,108,455483,11012109,0.96,True,0,592218048,3,Closed,"Nice stay likely treat her. Police process citizen data left and.
Picture drug family nation yet. Born positive report.
Itself several individual whole single opportunity themselves step. Fear ball hospital name modern break able.",Optional full-range process improvement,whiteboard granular communities,True
25,Flores-Fowler,AI/ML,Delhi,2219431313,5.73,18,1,Bachelors,167,455351,43313868,11.6,False,0,0,0,Closed,"Commercial return natural suddenly cell new. Population energy near bed cultural.
Sometimes shoulder idea long. Develop four next. Project check decade call.",Reactive 3rdgeneration migration,matrix strategic schemas,False
26,"Mccormick, Ingram and Sanders",E-commerce,Delhi,2018977056,11.4,16,2,MBA,199,87416,48052623,28.63,True,0,0,0,Closed,"Ability southern once concern friend grow success avoid. No design task drop. South he rest clear.
Season reduce about huge tree.",User-friendly neutral conglomeration,matrix interactive action-items,False
27,Stewart LLC,Fintech,Pune,3733027797,7.51,14,1,PhD,42,48333,10630268,24.59,True,2,506085522,2,Acquired,Often type market artist hotel address. Different painting give draw western herself general. Long everyone charge speech although will remember. Cost life raise manage forget walk.,Optimized background projection,transform dynamic platforms,True
28,Hines Inc,Agritech,Chennai,3477783323,14.37,1,0,Masters,151,451051,37337394,38.54,True,0,623714176,5,Acquired,"Society drop sure information. Staff threat or include discuss.
Beyond camera available. Main foot plan real analysis.
Factor meeting season tax. None like any example maintain.
Then world break image treatment fish. Environmental left student.",Exclusive secondary portal,deliver efficient systems,True
